id;id_infirmiere;prenom;nom
1;7733;dans tandis que;sentir un peu
2;11231;d’autant que ci fade;au-dedans de circulaire
3;27159;quant à;tchou tchouu
4;18830;rédaction aussitôt que lunatique;touriste sauvage corps enseignant
5;17619;peut-être;contre jusqu’à ce que
6;9713;responsable;lectorat
7;30822;puisque jaillir collègue;chef de cuisine triangulaire
8;26698;avex aussitôt que gigantesque;quand ? cuicui
9;10551;commis en dehors de;à demi
10;3162;du fait que conseil d’administration adorable;immense
